rank,package_name,version,declared_license,root_classification,total_dependencies,is_tainted,conflicting_copyleft_deps_count,conflicts_summary
1,symfony/deprecation-contracts,v3.7.1,MIT,PERMISSIVE,0,NO,0,
2,symfony/polyfill-mbstring,v1.38.2,MIT,PERMISSIVE,0,NO,0,
3,guzzlehttp/psr7,3.1.0,MIT,PERMISSIVE,4,NO,0,
4,psr/http-message,2.0,MIT,PERMISSIVE,0,NO,0,
5,symfony/console,v8.1.5,MIT,PERMISSIVE,9,NO,0,
6,psr/log,3.0.2,MIT,PERMISSIVE,0,NO,0,
7,symfony/polyfill-intl-normalizer,v1.42.0,MIT,PERMISSIVE,0,NO,0,
8,psr/container,2.0.2,MIT,PERMISSIVE,0,NO,0,
9,guzzlehttp/promises,3.0.2,MIT,PERMISSIVE,0,NO,0,
10,guzzlehttp/guzzle,8.1.0,MIT,PERMISSIVE,7,NO,0,
11,symfony/service-contracts,v3.7.1,MIT,PERMISSIVE,2,NO,0,
12,psr/http-factory,1.1.0,MIT,PERMISSIVE,1,NO,0,
13,symfony/polyfill-php80,v1.37.0,MIT,PERMISSIVE,0,NO,0,
14,symfony/finder,v8.1.5,MIT,PERMISSIVE,0,NO,0,
15,symfony/polyfill-ctype,v1.37.0,MIT,PERMISSIVE,0,NO,0,
16,symfony/string,v8.1.2,MIT,PERMISSIVE,4,NO,0,
17,symfony/process,v8.1.5,MIT,PERMISSIVE,0,NO,0,
18,nikic/php-parser,v5.8.0,BSD-3-Clause,PERMISSIVE,0,NO,0,
19,symfony/polyfill-intl-grapheme,v1.41.0,MIT,PERMISSIVE,0,NO,0,
20,symfony/event-dispatcher,v8.1.5,MIT,PERMISSIVE,3,NO,0,
21,ralouphie/getallheaders,3.0.3,MIT,PERMISSIVE,0,NO,0,
22,psr/http-client,1.0.3,MIT,PERMISSIVE,1,NO,0,
23,symfony/event-dispatcher-contracts,v3.7.1,MIT,PERMISSIVE,1,NO,0,
24,symfony/var-dumper,v8.1.5,MIT,PERMISSIVE,1,NO,0,
25,symfony/http-foundation,v8.1.5,MIT,PERMISSIVE,2,NO,0,
26,monolog/monolog,3.10.0,MIT,PERMISSIVE,1,NO,0,
27,symfony/polyfill-intl-idn,v1.42.0,MIT,PERMISSIVE,1,NO,0,
28,psr/event-dispatcher,1.0.0,MIT,PERMISSIVE,0,NO,0,
29,symfony/translation-contracts,v3.7.1,MIT,PERMISSIVE,0,NO,0,
30,symfony/mime,v8.1.5,MIT,PERMISSIVE,3,NO,0,
31,doctrine/lexer,3.0.1,MIT,PERMISSIVE,0,NO,0,
32,symfony/translation,v8.1.5,MIT,PERMISSIVE,2,NO,0,
33,symfony/http-kernel,v8.1.5,MIT,PERMISSIVE,11,NO,0,
34,symfony/error-handler,v8.1.5,MIT,PERMISSIVE,4,NO,0,
35,psr/clock,1.0.0,MIT,PERMISSIVE,0,NO,0,
36,symfony/routing,v8.1.5,MIT,PERMISSIVE,1,NO,0,
37,psr/simple-cache,3.0.0,MIT,PERMISSIVE,0,NO,0,
38,myclabs/deep-copy,1.14.0,MIT,PERMISSIVE,0,NO,0,
39,ramsey/uuid,4.9.3,MIT,PERMISSIVE,2,NO,0,
40,sebastian/diff,9.0.1,BSD-3-Clause,PERMISSIVE,0,NO,0,
41,brick/math,0.20.0,MIT,PERMISSIVE,0,NO,0,
42,doctrine/inflector,2.1.0,MIT,PERMISSIVE,0,NO,0,
43,phpunit/phpunit,13.3.2,BSD-3-Clause,PERMISSIVE,26,NO,0,
44,symfony/css-selector,v8.1.5,MIT,PERMISSIVE,0,NO,0,
45,egulias/email-validator,4.0.4,MIT,PERMISSIVE,3,NO,0,
46,sebastian/exporter,8.2.1,BSD-3-Clause,PERMISSIVE,1,NO,0,
47,phpunit/php-file-iterator,7.0.2,BSD-3-Clause,PERMISSIVE,0,NO,0,
48,sebastian/recursion-context,8.0.1,BSD-3-Clause,PERMISSIVE,0,NO,0,
49,sebastian/comparator,8.4.0,BSD-3-Clause,PERMISSIVE,3,NO,0,
50,phpunit/php-code-coverage,14.3.1,BSD-3-Clause,PERMISSIVE,8,NO,0,
51,sebastian/global-state,9.0.1,BSD-3-Clause,PERMISSIVE,2,NO,0,
52,sebastian/environment,9.3.2,BSD-3-Clause,PERMISSIVE,0,NO,0,
53,sebastian/version,7.0.0,BSD-3-Clause,PERMISSIVE,0,NO,0,
54,phpunit/php-timer,9.0.0,BSD-3-Clause,PERMISSIVE,0,NO,0,
55,phpunit/php-text-template,6.0.0,BSD-3-Clause,PERMISSIVE,0,NO,0,
56,ramsey/collection,2.1.1,MIT,PERMISSIVE,0,NO,0,
57,sebastian/object-enumerator,8.1.0,BSD-3-Clause,PERMISSIVE,1,NO,0,
58,theseer/tokenizer,2.0.1,BSD-3-Clause,PERMISSIVE,0,NO,0,
59,sebastian/object-reflector,6.1.0,BSD-3-Clause,PERMISSIVE,0,NO,0,
60,symfony/mailer,v8.1.5,MIT,PERMISSIVE,13,NO,0,
61,sebastian/type,7.0.2,BSD-3-Clause,PERMISSIVE,0,NO,0,
62,phar-io/version,3.2.1,BSD-3-Clause,PERMISSIVE,0,NO,0,
63,phar-io/manifest,2.0.4,BSD-3-Clause,PERMISSIVE,1,NO,0,
64,symfony/filesystem,v8.1.5,MIT,PERMISSIVE,3,NO,0,
65,symfony/yaml,v8.1.5,MIT,PERMISSIVE,1,NO,0,
66,sebastian/cli-parser,5.0.1,BSD-3-Clause,PERMISSIVE,0,NO,0,
67,sebastian/lines-of-code,5.0.2,BSD-3-Clause,PERMISSIVE,1,NO,0,
68,phpunit/php-invoker,7.0.0,BSD-3-Clause,PERMISSIVE,0,NO,0,
69,sebastian/complexity,6.0.0,BSD-3-Clause,PERMISSIVE,1,NO,0,
70,league/flysystem,3.35.3,MIT,PERMISSIVE,2,NO,0,
71,nesbot/carbon,3.13.2,MIT,PERMISSIVE,6,NO,0,
72,league/mime-type-detection,1.17.0,MIT,PERMISSIVE,0,NO,0,
73,symfony/polyfill-php84,v1.38.1,MIT,PERMISSIVE,0,NO,0,
74,vlucas/phpdotenv,v5.7.0,BSD-3-Clause,PERMISSIVE,5,NO,0,
75,phpoption/phpoption,1.10.0,Apache-2.0,PERMISSIVE,0,NO,0,
76,symfony/polyfill-php85,v1.41.0,MIT,PERMISSIVE,0,NO,0,
77,symfony/polyfill-php83,v1.41.0,MIT,PERMISSIVE,0,NO,0,
78,symfony/clock,v8.1.0,MIT,PERMISSIVE,1,NO,0,
79,symfony/uid,v8.1.5,MIT,PERMISSIVE,1,NO,0,
80,doctrine/deprecations,1.1.6,MIT,PERMISSIVE,0,NO,0,
81,carbonphp/carbon-doctrine-types,3.2.0,MIT,PERMISSIVE,0,NO,0,
82,graham-campbell/result-type,v1.2.0,MIT,PERMISSIVE,1,NO,0,
83,symfony/polyfill-uuid,v1.37.0,MIT,PERMISSIVE,0,NO,0,
84,dragonmantank/cron-expression,v3.6.0,MIT,PERMISSIVE,0,NO,0,
85,league/flysystem-local,3.35.3,MIT,PERMISSIVE,2,NO,0,
86,psr/cache,3.0.0,MIT,PERMISSIVE,0,NO,0,
87,nette/utils,v4.1.5,"BSD-3-Clause, GPL-2.0-only, GPL-3.0-only",PERMISSIVE,0,NO,0,
88,laravel/serializable-closure,v2.0.16,MIT,PERMISSIVE,0,NO,0,
89,psy/psysh,v0.12.24,MIT,PERMISSIVE,12,NO,0,
90,league/uri-interfaces,7.8.1,MIT,PERMISSIVE,1,NO,0,
91,league/uri,7.8.1,MIT,PERMISSIVE,3,NO,0,
92,voku/portable-ascii,2.1.1,MIT,PERMISSIVE,0,NO,0,
93,league/commonmark,2.10.0,BSD-3-Clause,PERMISSIVE,7,NO,0,
94,dflydev/dot-access-data,v3.0.3,MIT,PERMISSIVE,0,NO,0,
95,webmozart/assert,2.4.1,MIT,PERMISSIVE,0,NO,0,
