rank,package_name,version,declared_license,offender_package,offender_version,offender_license,copyleft_type,trace_path
243,barryvdh/laravel-dompdf,v3.1.2,MIT,dompdf/dompdf,v3.1.6,LGPL-2.1,WEAK_COPYLEFT,barryvdh/laravel-dompdf@v3.1.2 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1)
243,barryvdh/laravel-dompdf,v3.1.2,MIT,dompdf/php-font-lib,1.0.2,LGPL-2.1-or-later,WEAK_COPYLEFT,barryvdh/laravel-dompdf@v3.1.2 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-font-lib@1.0.2 (LGPL-2.1-or-later)
243,barryvdh/laravel-dompdf,v3.1.2,MIT,dompdf/php-svg-lib,1.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,barryvdh/laravel-dompdf@v3.1.2 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-svg-lib@1.0.2 (LGPL-3.0-or-later)
454,wp-coding-standards/wpcs,3.4.1,MIT,phpcsstandards/phpcsutils,1.2.3,LGPL-3.0-or-later,STRONG_COPYLEFT,wp-coding-standards/wpcs@3.4.1 (MIT) -> phpcsstandards/phpcsutils@1.2.3 (LGPL-3.0-or-later)
454,wp-coding-standards/wpcs,3.4.1,MIT,phpcsstandards/phpcsextra,1.5.1,LGPL-3.0-or-later,STRONG_COPYLEFT,wp-coding-standards/wpcs@3.4.1 (MIT) -> phpcsstandards/phpcsextra@1.5.1 (LGPL-3.0-or-later)
506,vimeo/psalm,6.16.1,Unspecified,netresearch/jsonmapper,v6.0.0,OSL-3.0,STRONG_COPYLEFT,vimeo/psalm@6.16.1 (None) -> danog/advanced-json-rpc@v3.2.3 (ISC) -> netresearch/jsonmapper@v6.0.0 (OSL-3.0)
587,sirbrillig/phpcs-variable-analysis,v3.0.0,BSD-2-Clause,phpcsstandards/phpcsutils,1.2.3,LGPL-3.0-or-later,STRONG_COPYLEFT,sirbrillig/phpcs-variable-analysis@v3.0.0 (BSD-2-Clause) -> phpcsstandards/phpcsutils@1.2.3 (LGPL-3.0-or-later)
657,danog/advanced-json-rpc,v3.2.3,ISC,netresearch/jsonmapper,v6.0.0,OSL-3.0,STRONG_COPYLEFT,danog/advanced-json-rpc@v3.2.3 (ISC) -> netresearch/jsonmapper@v6.0.0 (OSL-3.0)
678,felixfbecker/advanced-json-rpc,v3.2.1,ISC,netresearch/jsonmapper,v6.0.0,OSL-3.0,STRONG_COPYLEFT,felixfbecker/advanced-json-rpc@v3.2.1 (ISC) -> netresearch/jsonmapper@v6.0.0 (OSL-3.0)
747,mews/purifier,3.4.4,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,mews/purifier@3.4.4 (MIT) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
760,mglaman/phpstan-drupal,2.1.2,MIT,webflo/drupal-finder,1.3.1,GPL-2.0-or-later,STRONG_COPYLEFT,mglaman/phpstan-drupal@2.1.2 (MIT) -> webflo/drupal-finder@1.3.1 (GPL-2.0-or-later)
877,horstoeko/zugferd,v1.0.130,MIT,smalot/pdfparser,v2.12.5,LGPL-3.0,STRONG_COPYLEFT,horstoeko/zugferd@v1.0.130 (MIT) -> smalot/pdfparser@v2.12.5 (LGPL-3.0)
1063,yiisoft/yii2,2.0.55,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
1113,roots/wordpress,7.1,"MIT, GPL-2.0-or-later",roots/wordpress-core-installer,v4.0.0,GPL-2.0-or-later,STRONG_COPYLEFT,"roots/wordpress@7.1 (MIT, GPL-2.0-or-later) -> roots/wordpress-core-installer@v4.0.0 (GPL-2.0-or-later)"
1113,roots/wordpress,7.1,"MIT, GPL-2.0-or-later",roots/wordpress-no-content,7.1,GPL-2.0-or-later,STRONG_COPYLEFT,"roots/wordpress@7.1 (MIT, GPL-2.0-or-later) -> roots/wordpress-no-content@7.1 (GPL-2.0-or-later)"
1122,stevebauman/purify,v6.3.2,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,stevebauman/purify@v6.3.2 (MIT) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
1130,automattic/vipwpcs,3.1.0,MIT,phpcsstandards/phpcsextra,1.5.1,LGPL-3.0-or-later,STRONG_COPYLEFT,automattic/vipwpcs@3.1.0 (MIT) -> phpcsstandards/phpcsextra@1.5.1 (LGPL-3.0-or-later)
1130,automattic/vipwpcs,3.1.0,MIT,phpcsstandards/phpcsutils,1.2.3,LGPL-3.0-or-later,STRONG_COPYLEFT,automattic/vipwpcs@3.1.0 (MIT) -> phpcsstandards/phpcsextra@1.5.1 (LGPL-3.0-or-later) -> phpcsstandards/phpcsutils@1.2.3 (LGPL-3.0-or-later)
1214,mkalkbrenner/php-htmldiff-advanced,0.0.8,GNU General Public License V2,caxy/php-htmldiff,v0.1.17,GPL-2.0,STRONG_COPYLEFT,mkalkbrenner/php-htmldiff-advanced@0.0.8 (GNU General Public License V2) -> caxy/php-htmldiff@v0.1.17 (GPL-2.0)
1214,mkalkbrenner/php-htmldiff-advanced,0.0.8,GNU General Public License V2,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,mkalkbrenner/php-htmldiff-advanced@0.0.8 (GNU General Public License V2) -> caxy/php-htmldiff@v0.1.17 (GPL-2.0) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
1225,yiisoft/yii2-debug,2.1.28,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,yiisoft/yii2-debug@2.1.28 (BSD-3-Clause) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
1283,apimatic/core,0.3.18,MIT,apimatic/jsonmapper,3.1.7,OSL-3.0,STRONG_COPYLEFT,apimatic/core@0.3.18 (MIT) -> apimatic/jsonmapper@3.1.7 (OSL-3.0)
1343,iio/libmergepdf,4.0.4,WTFPL,tecnickcom/tcpdf,7.0.7,LGPL-3.0-or-later,STRONG_COPYLEFT,iio/libmergepdf@4.0.4 (WTFPL) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later)
1343,iio/libmergepdf,4.0.4,WTFPL,tecnickcom/tc-lib-pdf,8.72.1,LGPL-3.0-or-later,STRONG_COPYLEFT,iio/libmergepdf@4.0.4 (WTFPL) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later)
1343,iio/libmergepdf,4.0.4,WTFPL,tecnickcom/tc-lib-barcode,2.14.0,LGPL-3.0-or-later,STRONG_COPYLEFT,iio/libmergepdf@4.0.4 (WTFPL) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-barcode@2.14.0 (LGPL-3.0-or-later)
1343,iio/libmergepdf,4.0.4,WTFPL,tecnickcom/tc-lib-color,3.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,iio/libmergepdf@4.0.4 (WTFPL) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-color@3.0.2 (LGPL-3.0-or-later)
1343,iio/libmergepdf,4.0.4,WTFPL,tecnickcom/tc-lib-pdf-image,3.13.0,LGPL-3.0-or-later,STRONG_COPYLEFT,iio/libmergepdf@4.0.4 (WTFPL) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf-image@3.13.0 (LGPL-3.0-or-later)
1343,iio/libmergepdf,4.0.4,WTFPL,tecnickcom/tc-lib-pdf-font,4.3.1,LGPL-3.0-or-later,STRONG_COPYLEFT,iio/libmergepdf@4.0.4 (WTFPL) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf-font@4.3.1 (LGPL-3.0-or-later)
1343,iio/libmergepdf,4.0.4,WTFPL,tecnickcom/tc-lib-file,3.9.0,LGPL-3.0-or-later,STRONG_COPYLEFT,iio/libmergepdf@4.0.4 (WTFPL) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-file@3.9.0 (LGPL-3.0-or-later)
